"i0" "birth" "q_b" "q_mu" "Iv_0" "delta" "w_h" "phi"
"63" 5027.13545947436 3542.35814319699 0.139456489360654 9.9041918173825 1489.07279930528 0.026820325790369 0.416249974204732 0.0822034789662793
"64" 1240.42817374466 1598.89179904837 0.114715875384022 4.01430967558369 307.438075392959 0.0400714826393051 0.15120106558807 0.0918387934037476
"65" 2415.42712100769 2438.09093674419 0.172005107313459 7.605417012235 217.647283687432 0.0119029957616631 0.307802387398447 0.0693463559368291
"66" 1371.53426286874 1543.43701975308 0.115741323512856 4.20959951718603 1071.6139790555 0.0347316318532687 0.134479227274754 0.060101805787064
"67" 4472.26565442989 3040.0750607654 0.116632227344133 7.2736206423653 450.664798644179 0.0300945343807212 0.142273982569599 0.0726375504127402
"68" 8462.52918455781 4392.56069535813 0.0223847810742193 1.77542091597162 453.656643189494 0.0148256216378251 0.113773426318712 0.0423479863489739
"69" 4299.42396797775 1965.91834469402 0.191399060885229 8.10618847307638 233.536991155083 0.0166844753854289 0.189525700649466 0.0708823304499756
"70" 2913.07971164069 1747.23891952366 0.190442231512182 6.94217366353285 333.557526004691 0.0210327372981444 0.223687225945251 0.0884980413869806
"71" 4636.93642315742 904.122797451503 0.456266444172057 9.1753694444916 348.234527006226 0.00859603096167127 0.206511424478462 0.179084039949072
"72" 8296.59849585871 4051.75297629527 0.031604991760245 2.27931507884205 279.097394989801 0.0136012097569111 0.125335700335741 0.0465435291185207
"73" 8289.3852497489 3037.39407122827 0.00744965900184355 0.429087314954201 208.586081565999 0.0227943976817306 0.205756998352167 0.0471274959844166
"74" 7797.14789017537 3016.37361557981 0.0135526737036443 0.801714017601492 304.481622092157 0.0224136938837127 0.102742726614558 0.0473221585173488
"75" 1981.1830876837 2279.08369798271 0.0804688228623332 3.54028963642489 211.509670908052 0.0188221616744924 0.0606621477062834 0.0240186689414553
"76" 165.746960165731 1856.47725672452 0.0592737770915038 2.31000462092796 1192.88025627082 0.0276231567747043 0.124474092836123 0.0559568743686692
"77" 2756.27014893363 2365.36109465095 0.0189997511634842 0.893216842247808 393.705466663579 0.0283636794438903 0.162872405869425 0.0743450982297094
"78" 6249.17673295485 3101.30952610309 0.135961810498121 8.24105514479054 545.621987924294 0.0202567951215471 0.540118920695276 0.0639222447629188
"79" 3483.06474108996 2606.95363359487 0.121948163532079 5.97657413351083 353.624079525076 0.0179609058484454 0.308075099317628 0.0491446863591069
"80" 2173.63653085679 1594.92330021225 0.103648593947093 3.81144076086409 688.735015766963 0.0205109662726377 0.248410082338264 0.0662179597010868
"81" 2194.52805837203 2445.10944237427 0.0387862324037914 1.8894125258677 606.42011593398 0.0174765439304784 0.245103095243531 0.0372010934106446
"82" 2551.3023347873 1601.6580419573 0.117670890496741 4.21404279284738 270.657516909621 0.0107244486145988 0.656303716924194 0.101798349582719
"83" 4161.13813692682 2445.08506254492 0.0173970605533563 0.851533751394361 577.787026846378 0.0247331385104337 0.07967631589675 0.0349920420485586
